block,ring,DOY,CO2,H2O,category,cm_cm3,totlength
4,15,253,elevate,con,5,3.8628,15.316
4,15,253,elevate,con,6,5.7149,22.6596
4,15,253,elevate,con,7,1.4417,5.7162
4,15,253,elevate,con,8,0.3923,1.5556
4,15,253,elevate,con,9,0.0611,0.2424
4,15,253,elevate,dry,1,0.454,1.8003
4,15,253,elevate,dry,2,0.8341,3.3072
4,15,253,elevate,dry,3,0.9898,3.9244
4,15,253,elevate,dry,4,4.2448,16.8308
4,15,253,elevate,dry,5,5.0163,19.8895
4,15,253,elevate,dry,6,4.3527,17.2584
4,15,253,elevate,dry,7,10.3655,41.0994
4,15,253,elevate,dry,8,6.7688,26.8383
4,15,253,elevate,dry,9,0.4975,1.9724
1,1,175,ambient,con,1,0.4794,1.8626
1,1,175,ambient,con,2,0.017,0.0661
1,1,175,ambient,con,3,0,0
1,1,175,ambient,con,4,0,0
1,1,175,ambient,con,5,0,0
1,1,175,ambient,con,6,0,0
1,1,175,ambient,con,7,0,0
1,1,175,ambient,con,8,0,0
1,1,175,ambient,con,9,0,0
1,1,175,ambient,dry,1,0,0
1,1,175,ambient,dry,2,0,0
1,1,175,ambient,dry,3,0,0
1,1,175,ambient,dry,4,0,0
1,1,175,ambient,dry,5,0,0
1,1,175,ambient,dry,6,0,0
1,1,175,ambient,dry,7,0,0
1,1,175,ambient,dry,8,0,0
1,1,175,ambient,dry,9,0,0
1,5,175,elevate,con,1,0.3947,1.5335
1,5,175,elevate,con,2,0.1144,0.4445
1,5,175,elevate,con,3,0,0
1,5,175,elevate,con,4,0,0
1,5,175,elevate,con,5,0,0
1,5,175,elevate,con,6,0,0
1,5,175,elevate,con,7,0,0
1,5,175,elevate,con,8,0,0
1,5,175,elevate,con,9,0,0
1,5,175,elevate,dry,1,0.4118,1.5998
1,5,175,elevate,dry,2,0.062,0.241
1,5,175,elevate,dry,3,0,0
1,5,175,elevate,dry,4,0,0
1,5,175,elevate,dry,5,0,0
1,5,175,elevate,dry,6,0,0
1,5,175,elevate,dry,7,0,0
1,5,175,elevate,dry,8,0,0
1,5,175,elevate,dry,9,0,0
1,1,188,ambient,con,1,0.5904,2.2692
1,1,188,ambient,con,2,0.2057,0.7907
1,1,188,ambient,con,3,0.7677,2.951
1,1,188,ambient,con,4,0,0
