Obs,ring,DOY,CO2,block,true_ten,true_twenty,true_thirty,true_forty,true_fifty,true_sixty,true_seventy,start_ten,start_twenty,start_thirty,start_forty,start_fifty,start_sixty,start_seventy
1,1,167,amb,1,32.0325,37.2214,37.2458,38.8282,41.2341,42.9473,41.9039,32.0325,37.2214,37.2458,38.8282,41.2341,42.9473,41.9039
2,5,167,ele,1,35.1113,40.936,39.2019,39.0015,39.9251,39.9742,40.6488,35.1113,40.936,39.2019,39.0015,39.9251,39.9742,40.6488
3,1,171,amb,1,30.5699,37.2414,37.4736,39.0712,41.349,42.7705,41.7234,32.0325,37.2214,37.2458,38.8282,41.2341,42.9473,41.9039
4,5,171,ele,1,32.809,40.9152,39.2131,39.0125,40.0456,39.8639,40.6391,35.1113,40.936,39.2019,39.0015,39.9251,39.9742,40.6488
5,1,173,amb,1,33.4647,37.4411,37.4942,39.0547,41.3208,42.7325,41.7055,32.0325,37.2214,37.2458,38.8282,41.2341,42.9473,41.9039
6,5,173,ele,1,36.5797,40.914,39.0927,38.8303,39.7881,39.7257,40.3872,35.1113,40.936,39.2019,39.0015,39.9251,39.9742,40.6488
7,1,175,amb,1,30.5013,37.032,37.3594,38.8368,41.1498,42.6743,41.6082,32.0325,37.2214,37.2458,38.8282,41.2341,42.9473,41.9039
8,5,175,ele,1,33.4936,40.3203,38.8143,38.4829,39.5397,39.597,40.2191,35.1113,40.936,39.2019,39.0015,39.9251,39.9742,40.6488
9,1,178,amb,1,35.7332,38.2303,37.7251,38.8987,41.277,42.7525,41.8074,32.0325,37.2214,37.2458,38.8282,41.2341,42.9473,41.9039
10,1,180,amb,1,30.5881,37.6848,37.8221,39.397,41.5646,43.1318,42.0214,32.0325,37.2214,37.2458,38.8282,41.2341,42.9473,41.9039
11,5,180,ele,1,34.4874,40.8098,39.069,38.9155,39.7497,39.853,40.6394,35.1113,40.936,39.2019,39.0015,39.9251,39.9742,40.6488
12,1,182,amb,1,25.7534,36.083,37.4538,39.0453,41.2558,42.8291,41.8285,32.0325,37.2214,37.2458,38.8282,41.2341,42.9473,41.9039
13,5,182,ele,1,26.5251,40.2651,39.223,38.8503,39.8045,39.8184,40.471,35.1113,40.936,39.2019,39.0015,39.9251,39.9742,40.6488
14,1,186,amb,1,20.1627,31.5134,37.163,39.0314,41.4248,42.9556,41.9457,32.0325,37.2214,37.2458,38.8282,41.2341,42.9473,41.9039
15,5,186,ele,1,19.4411,37.217,39.2074,38.8888,40.0362,40.14,40.8723,35.1113,40.936,39.2019,39.0015,39.9251,39.9742,40.6488
16,1,192,amb,1,17.4091,25.7178,32.7933,38.7276,43.6872,45.7075,44.5391,32.0325,37.2214,37.2458,38.8282,41.2341,42.9473,41.9039
17,5,192,ele,1,15.4605,29.6622,37.0614,39.5551,42.3643,42.4929,42.7483,35.1113,40.936,39.2019,39.0015,39.9251,39.9742,40.6488
18,1,194,amb,1,17.2362,23.5184,30.1775,35.2834,42.8009,45.3368,44.2441,32.0325,37.2214,37.2458,38.8282,41.2341,42.9473,41.9039
