Obs,ring,DOY,CO2,block,true_ten,true_twenty,true_thirty,true_forty,true_fifty,true_sixty,true_seventy,start_ten,start_twenty,start_thirty,start_forty,start_fifty,start_sixty,start_seventy
1,17,167,amb,1,42.0069,45.3367,43.9885,45.2201,44.1356,44.2058,43.9095,42.0069,45.3367,43.9885,45.2201,44.1356,44.2058,43.9095
2,21,167,ele,1,40.0097,42.0545,39.7882,39.9999,42.1519,44.2921,44.8215,40.0097,42.0545,39.7882,39.9999,42.1519,44.2921,44.8215
3,17,169,amb,1,36.2071,43.7184,43.5664,44.2468,43.4724,44.0079,43.8313,42.0069,45.3367,43.9885,45.2201,44.1356,44.2058,43.9095
4,21,169,ele,1,36.838,39.7936,39.0761,40.3002,42.5402,44.5403,45.0321,40.0097,42.0545,39.7882,39.9999,42.1519,44.2921,44.8215
5,17,175,amb,1,40.108,44.3829,43.5743,44.2686,43.655,44.1721,43.8856,42.0069,45.3367,43.9885,45.2201,44.1356,44.2058,43.9095
6,21,175,ele,1,39.4361,40.8129,39.8303,40.1816,42.5618,44.5937,45.1516,40.0097,42.0545,39.7882,39.9999,42.1519,44.2921,44.8215
7,17,180,amb,1,23.5143,36.7993,43.1625,44.2286,43.4941,44.0084,43.7559,42.0069,45.3367,43.9885,45.2201,44.1356,44.2058,43.9095
8,21,180,ele,1,29.6151,38.0716,38.6466,39.748,42.3088,44.5073,45.0751,40.0097,42.0545,39.7882,39.9999,42.1519,44.2921,44.8215
9,17,182,amb,1,21.1397,32.6668,42.6285,43.99,43.345,43.8798,43.6498,42.0069,45.3367,43.9885,45.2201,44.1356,44.2058,43.9095
10,21,182,ele,1,26.4235,35.6032,38.5259,39.5689,42.1775,44.3883,44.9549,40.0097,42.0545,39.7882,39.9999,42.1519,44.2921,44.8215
11,17,187,amb,1,18.4944,23.967,33.9563,43.3828,43.7313,44.2136,44.0227,42.0069,45.3367,43.9885,45.2201,44.1356,44.2058,43.9095
12,21,187,ele,1,22.475,28.2851,35.4955,38.9335,42.4744,44.6582,45.1386,40.0097,42.0545,39.7882,39.9999,42.1519,44.2921,44.8215
13,17,190,amb,1,19.35,23.0633,31.5065,40.4586,43.2684,44.4578,44.1635,42.0069,45.3367,43.9885,45.2201,44.1356,44.2058,43.9095
14,21,190,ele,1,23.17,26.8978,32.9575,37.7101,41.8276,44.6932,45.0692,40.0097,42.0545,39.7882,39.9999,42.1519,44.2921,44.8215
15,17,193,amb,1,18.5091,21.3082,27.6339,33.723,38.607,43.3087,43.8005,42.0069,45.3367,43.9885,45.2201,44.1356,44.2058,43.9095
16,21,193,ele,1,21.4403,24.1607,29.2263,33.5668,39.042,44.0969,44.6911,40.0097,42.0545,39.7882,39.9999,42.1519,44.2921,44.8215
17,17,195,amb,1,18.2977,20.7967,26.2355,30.9569,35.3815,41.3636,43.4789,42.0069,45.3367,43.9885,45.2201,44.1356,44.2058,43.9095
18,21,195,ele,1,20.7481,23.4473,27.6534,30.8482,35.7263,42.8545,44.5522,40.0097,42.0545,39.7882,39.9999,42.1519,44.2921,44.8215
19,17,197,amb,1,20.765,23.9097,32.3464,36.3974,37.2347,41.9571,43.4362,42.0069,45.3367,43.9885,45.2201,44.1356,44.2058,43.9095
20,21,197,ele,1,25.5358,25.8174,28.4553,30.2092,33.6099,40.722,44.1112,40.0097,42.0545,39.7882,39.9999,42.1519,44.2921,44.8215
21,17,200,amb,1,19.6377,22.8245,29.5962,33.1942,34.6727,39.9807,42.3605,42.0069,45.3367,43.9885,45.2201,44.1356,44.2058,43.9095
22,21,200,ele,1,22.1661,23.6807,26.6464,28.4782,31.6272,36.8914,42.7303,40.0097,42.0545,39.7882,39.9999,42.1519,44.2921,44.8215
23,17,202,amb,1,31.0788,34.3587,41.4011,43.2638,42.205,43.2064,43.4374,42.0069,45.3367,43.9885,45.2201,44.1356,44.2058,43.9095
24,21,202,ele,1,35.2539,34.9341,35.0565,32.766,33.6316,38.2579,43.1223,40.0097,42.0545,39.7882,39.9999,42.1519,44.2921,44.8215
25,17,204,amb,1,30.6901,34.7543,41.3659,43.1485,41.9731,43.105,43.2216,42.0069,45.3367,43.9885,45.2201,44.1356,44.2058,43.9095
