Obs,ring,DOY,CO2,block,true_ten,true_twenty,true_thirty,true_forty,true_fifty,true_sixty,true_seventy,start_ten,start_twenty,start_thirty,start_forty,start_fifty,start_sixty,start_seventy
1,1,174,amb,1,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771
2,5,174,ele,1,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185
3,1,177,amb,1,32.0434,41.6605,40.7433,41.3329,43.5834,43.5614,44.2148,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771
4,5,177,ele,1,36.1656,45.377,43.0557,43.2047,43.2036,43.2775,43.1073,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185
5,1,181,amb,1,26.042,39.0117,40.1834,41.0675,43.4091,43.5052,44.0138,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771
6,5,181,ele,1,26.901,43.1922,42.6341,42.8012,42.8319,42.9371,42.8422,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185
7,1,183,amb,1,25.1347,37.9218,39.8409,40.7655,43.2804,43.405,43.8309,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771
8,5,183,ele,1,25.1318,41.7204,42.631,42.705,42.7365,42.8839,42.7887,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185
9,1,187,amb,1,39.7715,42.341,40.9892,42.3337,44.4907,44.3097,44.8307,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771
10,5,187,ele,1,41.2347,45.0256,42.5915,42.7063,42.8103,42.8945,42.8097,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185
11,1,189,amb,1,40.2377,41.5417,40.2033,40.7761,43.2773,43.3478,43.7804,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771
12,5,189,ele,1,42.4765,45.071,42.7609,42.6856,42.6734,42.7359,42.6516,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185
13,1,191,amb,1,40.0618,41.853,40.4877,41.0938,43.1524,43.4206,43.9811,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771
14,5,191,ele,1,42.6314,44.8909,42.5686,42.7368,42.7894,43.12,43.0566,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185
15,1,194,amb,1,37.5725,41.6869,40.6627,41.3293,43.5609,43.5041,44.3024,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771
16,5,194,ele,1,38.8941,44.8764,42.5897,42.7068,42.737,42.7362,42.7153,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185
17,1,196,amb,1,41.0866,41.4944,40.4946,41.0058,43.2795,43.4446,43.9707,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771
18,5,196,ele,1,43.1423,45.3509,42.7474,42.7264,42.7151,42.852,42.7148,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185
19,1,198,amb,1,36.4514,40.7785,40.0441,40.7817,43.4259,43.4629,44.0259,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771
20,5,198,ele,1,38.1004,44.7282,42.7698,42.9377,42.9583,43.0113,42.8841,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185
21,1,201,amb,1,28.0374,38.074,39.7007,40.4053,43.2768,43.5867,44.0205,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771
22,5,201,ele,1,29.5167,42.8793,42.3487,42.6857,42.758,42.9164,42.8736,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185
23,1,203,amb,1,24.4313,34.4883,38.7767,39.2261,42.9119,43.1093,43.8603,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771
24,5,203,ele,1,25.7756,39.4096,42.0753,42.6205,42.5894,42.7885,42.7465,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185
25,1,205,amb,1,24.0732,32.5297,37.4193,38.1936,42.6794,43.1371,43.9114,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771
26,5,205,ele,1,24.098,36.0585,41.3078,42.2562,42.5791,42.7786,42.7582,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185
27,1,208,amb,1,33.9465,37.1117,37.9882,37.744,42.5546,43.307,43.873,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771
28,5,208,ele,1,33.5519,41.2316,41.7724,42.2541,42.6102,42.8206,42.7995,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185
29,1,210,amb,1,38.4176,37.5922,38.8878,38.3445,43.2484,45.0629,44.9649,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771
30,5,210,ele,1,36.4211,40.7842,41.3098,42.1284,42.4408,42.7989,42.7784,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185
31,1,212,amb,1,32.7539,35.4096,36.9587,36.4746,41.9234,42.3482,44.7567,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771
32,5,212,ele,1,33.2578,39.6814,40.6067,41.9302,42.3998,42.7681,42.8211,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185
33,1,215,amb,1,25.5711,31.014,33.7679,33.5985,38.3431,42.2781,43.4378,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771
34,5,215,ele,1,26.1564,35.1367,38.5567,40.686,41.9392,42.4308,42.5687,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185
35,1,219,amb,1,36.1452,37.7324,37.4592,36.1349,39.884,42.5398,43.68,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771
36,5,219,ele,1,35.6078,41.6935,41.2541,42.0118,42.4517,42.7467,42.8423,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185
37,1,222,amb,1,30.888,35.9216,36.8541,35.457,39.3936,42.7814,44.3496,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771
38,5,222,ele,1,30.6544,39.5736,40.6505,41.7643,42.6307,42.831,43.044,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185
39,1,224,amb,1,26.5282,32.3038,34.8862,33.7064,37.6154,40.913,43.3494,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771
40,5,224,ele,1,27.0587,36.4514,39.2247,40.7985,42.6088,43.6217,43.9121,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185
41,1,227,amb,1,22.7419,28.4231,32.1798,31.6958,34.713,37.7911,41.5661,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771
42,5,227,ele,1,23.7015,30.9187,35.1101,36.8801,39.2068,41.5756,44.0763,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185
43,1,229,amb,1,32.0577,32.885,34.771,33.2744,36.1698,38.465,41.4078,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771
44,5,229,ele,1,37.1765,39.6089,41.5746,39.0269,39.7022,41.2031,42.3249,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185
45,1,232,amb,1,39.4891,40.638,39.3237,38.1471,39.4769,39.7491,41.8863,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771
46,5,232,ele,1,42.9202,44.995,42.8749,42.8637,42.9896,42.9473,43.0748,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185
47,1,236,amb,1,39.4469,41.0483,39.972,39.7598,41.8052,42.22,43.0058,39.1994,41.9545,40.549,41.1675,43.3567,43.4042,43.8771
48,5,236,ele,1,41.8037,44.5113,42.4946,42.6105,42.8005,42.7472,42.8736,43.586,45.2166,42.8765,43.0557,42.991,43.1179,43.185
