Obs,ring,DOY,CO2,block,true_ten,true_twenty,true_thirty,true_forty,true_fifty,true_sixty,true_seventy,start_ten,start_twenty,start_thirty,start_forty,start_fifty,start_sixty,start_seventy
92,4,199,370,2,35.1243,34.7582,35.8288,41.5268,43.5557,44.2009,44.6722,37.1397,43.8759,42.753,45.0881,45.2575,45.4639,45.0763
93,3,199,550,2,39.388,37.5706,41.3919,41.8408,42.3074,43.3088,42.1392,42.7106,46.4541,44.0238,43.5089,43.5039,44.2563,43.0318
94,4,201,370,2,33.9218,34.099,35.2896,41.1858,43.3523,43.6869,44.2989,37.1397,43.8759,42.753,45.0881,45.2575,45.4639,45.0763
95,3,201,550,2,38.8056,37.8119,41.341,41.8251,42.5304,43.0588,42.0816,42.7106,46.4541,44.0238,43.5089,43.5039,44.2563,43.0318
96,4,204,370,2,25.9082,30.0289,33.338,40.5144,42.8858,43.243,43.7438,37.1397,43.8759,42.753,45.0881,45.2575,45.4639,45.0763
97,3,204,550,2,32.5856,37.0708,41.0009,41.2275,42.1167,42.899,41.9474,42.7106,46.4541,44.0238,43.5089,43.5039,44.2563,43.0318
98,4,211,370,2,24.8607,29.67,34.3251,41.4326,43.5324,43.6935,43.9408,37.1397,43.8759,42.753,45.0881,45.2575,45.4639,45.0763
99,3,211,550,2,30.4353,37.3378,41.5616,41.941,42.7618,43.3721,42.3725,42.7106,46.4541,44.0238,43.5089,43.5039,44.2563,43.0318
100,4,213,370,2,21.8563,26.4608,32.3043,40.0415,42.5414,42.9729,43.3873,37.1397,43.8759,42.753,45.0881,45.2575,45.4639,45.0763
101,3,213,550,2,27.7638,36.2861,41.2386,41.639,42.5697,43.2535,42.1132,42.7106,46.4541,44.0238,43.5089,43.5039,44.2563,43.0318
102,4,215,370,2,19.8941,24.5747,30.5826,38.5504,42.0498,43.2144,43.7482,37.1397,43.8759,42.753,45.0881,45.2575,45.4639,45.0763
103,3,215,550,2,25.8408,34.6017,40.4428,41.4014,42.0685,42.8137,41.8899,42.7106,46.4541,44.0238,43.5089,43.5039,44.2563,43.0318
104,4,218,370,2,21.2945,27.9328,33.5859,38.0355,40.1575,41.2647,41.73,37.1397,43.8759,42.753,45.0881,45.2575,45.4639,45.0763
