Obs,ring,DOY,CO2,block,true_ten,true_twenty,true_thirty,true_forty,true_fifty,true_sixty,true_seventy,start_ten,start_twenty,start_thirty,start_forty,start_fifty,start_sixty,start_seventy
1,17,205,380,1,35.2148,42.7452,41.722,43.2567,43.2355,42.9416,42.4643,35.2148,42.7452,41.722,43.2567,43.2355,42.9416,42.4643
2,21,205,550,1,37.0939,39.8375,38.3951,39.169,41.195,43.5039,44.1072,37.0939,39.8375,38.3951,39.169,41.195,43.5039,44.1072
3,17,207,380,1,28.6823,40.4861,41.437,43.1618,43.0881,42.6602,42.2981,35.2148,42.7452,41.722,43.2567,43.2355,42.9416,42.4643
4,21,207,550,1,30.8938,37.4695,37.9258,38.8376,40.8801,43.242,43.8618,37.0939,39.8375,38.3951,39.169,41.195,43.5039,44.1072
5,17,210,380,1,23.7962,35.2047,40.1702,43.3192,43.0747,42.8789,42.3933,35.2148,42.7452,41.722,43.2567,43.2355,42.9416,42.4643
6,21,210,550,1,25.6073,33.5696,36.7594,38.233,40.5602,43.2012,43.8003,37.0939,39.8375,38.3951,39.169,41.195,43.5039,44.1072
7,17,213,380,1,28.1788,33.998,38.5224,42.5979,43.0367,42.7543,42.3716,35.2148,42.7452,41.722,43.2567,43.2355,42.9416,42.4643
8,21,213,550,1,34.4727,34.8712,35.8417,37.5706,40.0612,42.867,43.5882,37.0939,39.8375,38.3951,39.169,41.195,43.5039,44.1072
9,17,219,380,1,21.1518,28.4873,32.5317,39.226,42.426,42.4735,42.1232,35.2148,42.7452,41.722,43.2567,43.2355,42.9416,42.4643
10,21,219,550,1,25.6841,30.0966,33.5811,35.8904,38.7216,42.502,43.3773,37.0939,39.8375,38.3951,39.169,41.195,43.5039,44.1072
11,17,221,380,1,19.6512,27.064,30.5078,35.878,41.0749,42.0226,41.929,35.2148,42.7452,41.722,43.2567,43.2355,42.9416,42.4643
12,21,221,550,1,22.3966,27.6874,31.5776,34.1324,37.0762,40.9013,42.9928,37.0939,39.8375,38.3951,39.169,41.195,43.5039,44.1072
13,17,224,380,1,18.4435,24.9456,28.0944,32.5456,38.6397,41.483,41.7854,35.2148,42.7452,41.722,43.2567,43.2355,42.9416,42.4643
14,21,224,550,1,20.269,25.2776,29.6852,32.3673,34.9732,37.3473,40.6347,37.0939,39.8375,38.3951,39.169,41.195,43.5039,44.1072
15,17,226,380,1,18.1685,24.6947,27.6177,31.3155,37.0757,41.1256,42.0429,35.2148,42.7452,41.722,43.2567,43.2355,42.9416,42.4643
