block,ring,CO2,hour,canopy_t
1,17,ambient,0,15.3483
1,17,ambient,1,15.0602
1,17,ambient,2,14.8082
1,17,ambient,3,14.5909
1,17,ambient,4,14.5435
1,17,ambient,5,14.2775
1,17,ambient,6,14.5994
1,17,ambient,7,16.913
1,17,ambient,8,19.7278
1,17,ambient,9,22.113
1,17,ambient,10,23.9302
1,17,ambient,11,25.0501
1,17,ambient,12,25.575
1,17,ambient,13,25.8552
1,17,ambient,14,25.9483
1,17,ambient,15,25.5024
1,17,ambient,16,24.707
1,17,ambient,17,23.8528
1,17,ambient,18,22.3187
1,17,ambient,19,19.9044
1,17,ambient,20,17.8065
1,17,ambient,21,16.8125
1,17,ambient,22,16.2508
1,17,ambient,23,15.8175
1,21,elevate,0,15.3155
1,21,elevate,1,15.021
1,21,elevate,2,14.7407
1,21,elevate,3,14.556
1,21,elevate,4,14.5274
1,21,elevate,5,14.2747
1,21,elevate,6,14.5771
1,21,elevate,7,16.997
1,21,elevate,8,19.8528
1,21,elevate,9,22.3273
1,21,elevate,10,24.3819
1,21,elevate,11,25.6421
1,21,elevate,12,26.326
1,21,elevate,13,26.8878
1,21,elevate,14,27.0863
1,21,elevate,15,26.7232
1,21,elevate,16,25.7474
1,21,elevate,17,24.6876
1,21,elevate,18,22.7299
1,21,elevate,19,20.0413
1,21,elevate,20,17.8388
1,21,elevate,21,16.7881
1,21,elevate,22,16.1532
1,21,elevate,23,15.7454
2,20,elevate,0,15.9827
2,20,elevate,1,15.697
2,20,elevate,2,15.4336
2,20,elevate,3,15.2131
2,20,elevate,4,15.1581
2,20,elevate,5,14.8852
2,20,elevate,6,15.1788
2,20,elevate,7,17.5274
2,20,elevate,8,20.4006
2,20,elevate,9,22.812
2,20,elevate,10,24.695
2,20,elevate,11,25.8887
2,20,elevate,12,26.526
2,20,elevate,13,26.8975
2,20,elevate,14,27.0307
2,20,elevate,15,26.6198
2,20,elevate,16,25.8195
2,20,elevate,17,24.9036
2,20,elevate,18,23.1378
2,20,elevate,19,20.6074
2,20,elevate,20,18.514
2,20,elevate,21,17.48
2,20,elevate,22,16.8614
2,20,elevate,23,16.3944
2,24,ambient,0,15.3739
2,24,ambient,1,15.0936
2,24,ambient,2,14.8431
2,24,ambient,3,14.6397
2,24,ambient,4,14.5786
2,24,ambient,5,14.346
2,24,ambient,6,14.6821
2,24,ambient,7,17.0936
2,24,ambient,8,19.9215
2,24,ambient,9,22.1569
2,24,ambient,10,23.8713
2,24,ambient,11,24.955
2,24,ambient,12,25.5764
2,24,ambient,13,26.0386
2,24,ambient,14,26.3287
2,24,ambient,15,25.9538
2,24,ambient,16,25.0836
2,24,ambient,17,24.204
2,24,ambient,18,22.5765
2,24,ambient,19,20.0073
2,24,ambient,20,17.8055
2,24,ambient,21,16.7806
2,24,ambient,22,16.1882
2,24,ambient,23,15.7549
3,28,elevate,0,15.2362
3,28,elevate,1,14.9835
3,28,elevate,2,14.7501
3,28,elevate,3,14.5889
3,28,elevate,4,14.5495
3,28,elevate,5,14.3022
3,28,elevate,6,14.6766
