block,ring,CO2,hour,canopy_t
3,10,ambient,13,27.4229
3,10,ambient,14,26.6692
3,10,ambient,15,25.879
3,10,ambient,16,24.8284
3,10,ambient,17,23.3054
3,10,ambient,18,20.849
3,10,ambient,19,19.0485
3,10,ambient,20,18.1393
3,10,ambient,21,17.6388
3,10,ambient,22,17.1948
3,10,ambient,23,16.7961
3,14,elevate,0,16.5255
3,14,elevate,1,16.2318
3,14,elevate,2,15.8719
3,14,elevate,3,15.7029
3,14,elevate,4,15.3891
3,14,elevate,5,15.7015
3,14,elevate,6,18.287
3,14,elevate,7,20.9546
3,14,elevate,8,23.3147
3,14,elevate,9,25.1763
3,14,elevate,10,26.588
3,14,elevate,11,27.472
3,14,elevate,12,28.0203
3,14,elevate,13,28.1899
3,14,elevate,14,27.8328
3,14,elevate,15,27.2248
3,14,elevate,16,25.9607
3,14,elevate,17,24.0933
3,14,elevate,18,21.19
3,14,elevate,19,19.0333
3,14,elevate,20,18.0049
3,14,elevate,21,17.4341
3,14,elevate,22,16.9646
3,14,elevate,23,16.5502
4,11,ambient,0,16.6599
4,11,ambient,1,16.4072
4,11,ambient,2,16.0396
4,11,ambient,3,15.8608
4,11,ambient,4,15.5698
4,11,ambient,5,15.8681
4,11,ambient,6,18.2638
4,11,ambient,7,20.8485
4,11,ambient,8,23.1366
4,11,ambient,9,24.9759
4,11,ambient,10,26.4098
4,11,ambient,11,27.1398
4,11,ambient,12,27.4407
4,11,ambient,13,27.5052
4,11,ambient,14,27.088
4,11,ambient,15,26.485
4,11,ambient,16,25.2379
4,11,ambient,17,23.472
4,11,ambient,18,20.8802
4,11,ambient,19,19.0046
4,11,ambient,20,18.0996
4,11,ambient,21,17.5835
4,11,ambient,22,17.1151
4,11,ambient,23,16.6907
4,15,elevate,0,16.6048
4,15,elevate,1,16.5216
4,15,elevate,2,16.1487
4,15,elevate,3,15.9158
4,15,elevate,4,15.5745
4,15,elevate,5,15.8057
4,15,elevate,6,17.8227
4,15,elevate,7,20.4538
4,15,elevate,8,22.9647
4,15,elevate,9,25.125
4,15,elevate,10,26.8882
4,15,elevate,11,27.6494
4,15,elevate,12,27.8375
4,15,elevate,13,27.7863
4,15,elevate,14,27.0165
4,15,elevate,15,26.2402
4,15,elevate,16,25.078
4,15,elevate,17,23.2645
4,15,elevate,18,20.6304
4,15,elevate,19,18.7824
4,15,elevate,20,18.0984
4,15,elevate,21,17.4528
4,15,elevate,22,17.1767
4,15,elevate,23,16.758
