block,ring,CO2,hour,canopy_t
1,1,ambient,0,17.1368
1,1,ambient,1,16.8546
1,1,ambient,2,16.4595
1,1,ambient,3,16.2598
1,1,ambient,4,15.9543
1,1,ambient,5,16.3268
1,1,ambient,6,19.0269
1,1,ambient,7,21.6461
1,1,ambient,8,23.6145
1,1,ambient,9,25.023
1,1,ambient,10,26.0302
1,1,ambient,11,26.9623
1,1,ambient,12,27.6261
1,1,ambient,13,27.8912
1,1,ambient,14,27.7776
1,1,ambient,15,27.5023
1,1,ambient,16,26.5004
1,1,ambient,17,24.9147
1,1,ambient,18,22.1217
1,1,ambient,19,19.8149
1,1,ambient,20,18.756
1,1,ambient,21,18.216
1,1,ambient,22,17.6704
1,1,ambient,23,17.2011
1,5,elevate,0,16.9119
1,5,elevate,1,16.6209
1,5,elevate,2,16.2405
1,5,elevate,3,16.0235
1,5,elevate,4,15.7356
1,5,elevate,5,16.2511
1,5,elevate,6,19.3433
1,5,elevate,7,22.2905
1,5,elevate,8,24.7405
1,5,elevate,9,26.6142
1,5,elevate,10,27.9204
1,5,elevate,11,28.507
1,5,elevate,12,28.7209
1,5,elevate,13,28.5706
1,5,elevate,14,28.265
1,5,elevate,15,27.9828
1,5,elevate,16,26.9816
1,5,elevate,17,25.284
1,5,elevate,18,22.3181
1,5,elevate,19,19.729
1,5,elevate,20,18.6216
1,5,elevate,21,18.0222
1,5,elevate,22,17.4559
1,5,elevate,23,16.983
2,3,elevate,0,.
2,3,elevate,1,.
2,3,elevate,2,.
2,3,elevate,3,.
2,3,elevate,4,.
2,3,elevate,5,.
2,3,elevate,6,.
2,3,elevate,7,.
2,3,elevate,8,.
2,3,elevate,9,.
2,3,elevate,10,.
2,3,elevate,11,.
2,3,elevate,12,.
2,3,elevate,13,.
2,3,elevate,14,.
2,3,elevate,15,.
2,3,elevate,16,.
2,3,elevate,17,.
2,3,elevate,18,.
2,3,elevate,19,.
2,3,elevate,20,.
2,3,elevate,21,.
2,3,elevate,22,.
2,3,elevate,23,.
2,4,ambient,0,16.1843
2,4,ambient,1,15.9306
2,4,ambient,2,15.603
2,4,ambient,3,15.4645
2,4,ambient,4,15.2351
2,4,ambient,5,15.5987
2,4,ambient,6,18.0652
2,4,ambient,7,20.76
2,4,ambient,8,23.1071
2,4,ambient,9,24.9284
2,4,ambient,10,26.2877
2,4,ambient,11,27.0431
2,4,ambient,12,27.3936
2,4,ambient,13,27.5027
2,4,ambient,14,27.0903
2,4,ambient,15,26.4774
2,4,ambient,16,25.2833
2,4,ambient,17,23.5714
2,4,ambient,18,20.9019
2,4,ambient,19,18.7266
2,4,ambient,20,17.733
2,4,ambient,21,17.2069
2,4,ambient,22,16.6557
2,4,ambient,23,16.2673
3,10,ambient,0,16.8216
3,10,ambient,1,16.4909
3,10,ambient,2,16.138
3,10,ambient,3,15.9996
3,10,ambient,4,15.64
3,10,ambient,5,15.9708
3,10,ambient,6,18.3278
3,10,ambient,7,20.8695
3,10,ambient,8,23.1207
3,10,ambient,9,24.9066
3,10,ambient,10,26.4122
3,10,ambient,11,27.1359
3,10,ambient,12,27.3587
