block,ring,CO2,hour,canopy_t
1,1,ambient,0,18.1225
1,1,ambient,1,17.7429
1,1,ambient,2,17.5169
1,1,ambient,3,17.2819
1,1,ambient,4,16.9503
1,1,ambient,5,16.6959
1,1,ambient,6,17.1717
1,1,ambient,7,19.736
1,1,ambient,8,22.072
1,1,ambient,9,23.9584
1,1,ambient,10,25.9274
1,1,ambient,11,27.1778
1,1,ambient,12,27.9952
1,1,ambient,13,28.617
1,1,ambient,14,28.7384
1,1,ambient,15,28.4816
1,1,ambient,16,27.4592
1,1,ambient,17,26.4648
1,1,ambient,18,25.0507
1,1,ambient,19,22.2161
1,1,ambient,20,20.0678
1,1,ambient,21,19.4765
1,1,ambient,22,18.9355
1,1,ambient,23,18.3929
1,5,elevate,0,18.0149
1,5,elevate,1,17.6074
1,5,elevate,2,17.3909
1,5,elevate,3,17.1851
1,5,elevate,4,16.8347
1,5,elevate,5,16.5376
1,5,elevate,6,17.0647
1,5,elevate,7,19.6525
1,5,elevate,8,22.1691
1,5,elevate,9,24.2778
1,5,elevate,10,26.5378
1,5,elevate,11,28.032
1,5,elevate,12,28.9963
1,5,elevate,13,29.6903
1,5,elevate,14,29.7796
1,5,elevate,15,29.5098
1,5,elevate,16,28.3637
1,5,elevate,17,27.14
1,5,elevate,18,25.3193
1,5,elevate,19,22.1629
1,5,elevate,20,20.0353
1,5,elevate,21,19.4091
1,5,elevate,22,18.8693
1,5,elevate,23,18.2863
2,3,elevate,0,17.727
2,3,elevate,1,17.325
2,3,elevate,2,17.1508
2,3,elevate,3,16.8807
2,3,elevate,4,16.5567
2,3,elevate,5,16.287
2,3,elevate,6,16.8252
2,3,elevate,7,19.5419
2,3,elevate,8,22.0356
2,3,elevate,9,24.1385
2,3,elevate,10,26.4189
2,3,elevate,11,27.8132
2,3,elevate,12,28.7451
2,3,elevate,13,29.3983
2,3,elevate,14,29.5341
2,3,elevate,15,29.1969
2,3,elevate,16,28.0721
2,3,elevate,17,26.9236
2,3,elevate,18,25.1905
2,3,elevate,19,22.0354
2,3,elevate,20,19.8008
2,3,elevate,21,19.1183
2,3,elevate,22,18.5268
2,3,elevate,23,17.9925
2,4,ambient,0,17.7757
2,4,ambient,1,17.4729
2,4,ambient,2,17.2835
2,4,ambient,3,16.997
2,4,ambient,4,16.6905
2,4,ambient,5,16.4459
2,4,ambient,6,16.8329
2,4,ambient,7,19.5384
2,4,ambient,8,22.1175
2,4,ambient,9,24.0719
2,4,ambient,10,26.1684
2,4,ambient,11,27.4776
2,4,ambient,12,28.4644
2,4,ambient,13,29.1581
2,4,ambient,14,29.1932
2,4,ambient,15,29.0089
2,4,ambient,16,27.9794
2,4,ambient,17,26.9752
2,4,ambient,18,25.4651
2,4,ambient,19,22.3574
2,4,ambient,20,19.9507
2,4,ambient,21,19.2599
2,4,ambient,22,18.6655
2,4,ambient,23,18.1752
3,10,ambient,0,19.1227
3,10,ambient,1,18.7919
3,10,ambient,2,18.5463
3,10,ambient,3,18.2478
3,10,ambient,4,17.8359
3,10,ambient,5,17.4793
3,10,ambient,6,17.7309
3,10,ambient,7,20.2355
3,10,ambient,8,22.6617
3,10,ambient,9,24.5614
3,10,ambient,10,26.4385
3,10,ambient,11,27.7364
3,10,ambient,12,28.7753
3,10,ambient,13,29.5974
3,10,ambient,14,29.9123
3,10,ambient,15,29.7805
3,10,ambient,16,28.733
3,10,ambient,17,27.6301
3,10,ambient,18,26.0227
3,10,ambient,19,22.9184
3,10,ambient,20,20.9066
3,10,ambient,21,20.2792
3,10,ambient,22,19.7995
3,10,ambient,23,19.2138
3,14,elevate,0,17.6483
3,14,elevate,1,17.2771
3,14,elevate,2,17.0827
3,14,elevate,3,16.8394
3,14,elevate,4,16.5195
3,14,elevate,5,16.2289
3,14,elevate,6,16.6869
3,14,elevate,7,19.0638
3,14,elevate,8,21.4592
3,14,elevate,9,23.5442
3,14,elevate,10,25.9678
3,14,elevate,11,27.5092
3,14,elevate,12,28.4904
3,14,elevate,13,29.1718
3,14,elevate,14,29.2537
3,14,elevate,15,28.9547
3,14,elevate,16,27.8007
3,14,elevate,17,26.5097
3,14,elevate,18,24.7203
3,14,elevate,19,21.4983
3,14,elevate,20,19.5206
3,14,elevate,21,18.9436
3,14,elevate,22,18.4418
3,14,elevate,23,17.9418
4,11,ambient,0,18.2466
4,11,ambient,1,17.8866
4,11,ambient,2,17.659
4,11,ambient,3,17.4128
4,11,ambient,4,17.0484
4,11,ambient,5,16.7608
4,11,ambient,6,17.2106
4,11,ambient,7,19.6936
4,11,ambient,8,22.0284
4,11,ambient,9,23.829
4,11,ambient,10,25.7846
4,11,ambient,11,26.9858
4,11,ambient,12,27.8033
4,11,ambient,13,28.3011
4,11,ambient,14,28.3673
4,11,ambient,15,28.128
4,11,ambient,16,27.1701
4,11,ambient,17,26.2535
4,11,ambient,18,24.9455
4,11,ambient,19,22.1861
4,11,ambient,20,20.2525
4,11,ambient,21,19.656
4,11,ambient,22,19.1058
4,11,ambient,23,18.5336
4,15,elevate,0,17.8414
4,15,elevate,1,17.4902
4,15,elevate,2,17.2456
4,15,elevate,3,16.9805
4,15,elevate,4,16.6438
4,15,elevate,5,16.3322
4,15,elevate,6,16.8085
4,15,elevate,7,19.3279
4,15,elevate,8,21.7388
4,15,elevate,9,23.7285
4,15,elevate,10,25.8733
4,15,elevate,11,27.1523
4,15,elevate,12,28.1078
4,15,elevate,13,28.6683
4,15,elevate,14,28.6648
4,15,elevate,15,28.4192
4,15,elevate,16,27.4912
4,15,elevate,17,26.5025
4,15,elevate,18,24.9251
4,15,elevate,19,21.9002
4,15,elevate,20,19.8939
4,15,elevate,21,19.2559
4,15,elevate,22,18.7064
4,15,elevate,23,18.1629
