block,ring,CO2,hour,canopy_t
1,1,ambient,0,18.4812
1,1,ambient,1,18.1475
1,1,ambient,2,17.9142
1,1,ambient,3,17.6767
1,1,ambient,4,17.5091
1,1,ambient,5,17.3235
1,1,ambient,6,17.6126
1,1,ambient,7,19.7836
1,1,ambient,8,22.4978
1,1,ambient,9,24.8345
1,1,ambient,10,26.5764
1,1,ambient,11,28.0354
1,1,ambient,12,28.6928
1,1,ambient,13,29.0704
1,1,ambient,14,28.968
1,1,ambient,15,28.3823
1,1,ambient,16,27.5304
1,1,ambient,17,26.6327
1,1,ambient,18,25.336
1,1,ambient,19,22.8968
1,1,ambient,20,20.8276
1,1,ambient,21,19.8827
1,1,ambient,22,19.43
1,1,ambient,23,19.0009
1,5,elevate,0,18.013
1,5,elevate,1,17.6447
1,5,elevate,2,17.4184
1,5,elevate,3,17.1911
1,5,elevate,4,17.024
1,5,elevate,5,16.8224
1,5,elevate,6,17.1373
1,5,elevate,7,19.4318
1,5,elevate,8,22.054
1,5,elevate,9,24.4328
1,5,elevate,10,26.2924
1,5,elevate,11,27.7765
1,5,elevate,12,28.4596
1,5,elevate,13,28.9731
1,5,elevate,14,28.9504
1,5,elevate,15,28.4901
1,5,elevate,16,27.7415
1,5,elevate,17,26.8319
1,5,elevate,18,25.3387
1,5,elevate,19,22.6763
1,5,elevate,20,20.5339
1,5,elevate,21,19.5288
1,5,elevate,22,18.9788
1,5,elevate,23,18.528
2,3,elevate,0,18.5331
2,3,elevate,1,18.1664
2,3,elevate,2,17.9342
2,3,elevate,3,17.7182
2,3,elevate,4,17.5612
2,3,elevate,5,17.3616
2,3,elevate,6,17.6431
2,3,elevate,7,19.8241
2,3,elevate,8,22.4147
2,3,elevate,9,24.6617
2,3,elevate,10,26.4745
2,3,elevate,11,27.9724
2,3,elevate,12,28.8124
2,3,elevate,13,29.4337
2,3,elevate,14,29.6259
2,3,elevate,15,29.23
2,3,elevate,16,28.5119
2,3,elevate,17,27.608
2,3,elevate,18,26.0692
2,3,elevate,19,23.3524
2,3,elevate,20,21.0432
2,3,elevate,21,20.0097
2,3,elevate,22,19.481
2,3,elevate,23,19.0598
2,4,ambient,0,19.2636
2,4,ambient,1,18.8901
2,4,ambient,2,18.6513
2,4,ambient,3,18.4272
2,4,ambient,4,18.2245
2,4,ambient,5,18.0417
2,4,ambient,6,18.3321
2,4,ambient,7,20.5753
2,4,ambient,8,23.2282
2,4,ambient,9,25.4482
2,4,ambient,10,27.1509
2,4,ambient,11,28.5541
2,4,ambient,12,29.2744
2,4,ambient,13,29.812
2,4,ambient,14,29.9029
2,4,ambient,15,29.4102
2,4,ambient,16,28.7111
2,4,ambient,17,27.8629
2,4,ambient,18,26.475
2,4,ambient,19,24.0296
2,4,ambient,20,21.7901
2,4,ambient,21,20.7204
2,4,ambient,22,20.2096
2,4,ambient,23,19.7996
3,10,ambient,0,18.4747
3,10,ambient,1,18.1104
3,10,ambient,2,17.8688
3,10,ambient,3,17.6909
3,10,ambient,4,17.4936
3,10,ambient,5,17.3214
3,10,ambient,6,17.5571
3,10,ambient,7,19.6883
3,10,ambient,8,22.2802
3,10,ambient,9,24.5625
3,10,ambient,10,26.2185
3,10,ambient,11,27.5854
3,10,ambient,12,28.2818
3,10,ambient,13,28.8983
3,10,ambient,14,29.0601
3,10,ambient,15,28.8333
3,10,ambient,16,28.2553
3,10,ambient,17,27.4812
3,10,ambient,18,26.1459
3,10,ambient,19,23.6313
3,10,ambient,20,21.285
3,10,ambient,21,20.0837
3,10,ambient,22,19.5137
3,10,ambient,23,19.0361
3,14,elevate,0,18.847
3,14,elevate,1,18.4652
3,14,elevate,2,18.2174
3,14,elevate,3,17.9924
3,14,elevate,4,17.8068
3,14,elevate,5,17.6165
3,14,elevate,6,17.9069
3,14,elevate,7,20.1747
3,14,elevate,8,22.922
3,14,elevate,9,25.3492
3,14,elevate,10,27.196
3,14,elevate,11,28.6473
3,14,elevate,12,29.2966
3,14,elevate,13,29.7677
3,14,elevate,14,29.8159
3,14,elevate,15,29.4995
3,14,elevate,16,28.8764
3,14,elevate,17,28.0076
3,14,elevate,18,26.5265
3,14,elevate,19,23.8707
3,14,elevate,20,21.5689
3,14,elevate,21,20.4484
3,14,elevate,22,19.8871
3,14,elevate,23,19.4204
4,11,ambient,0,18.7348
4,11,ambient,1,18.3815
4,11,ambient,2,18.1656
4,11,ambient,3,17.9585
4,11,ambient,4,17.7874
4,11,ambient,5,17.5867
4,11,ambient,6,17.8927
4,11,ambient,7,20.2804
4,11,ambient,8,23.1083
4,11,ambient,9,25.4562
4,11,ambient,10,27.1676
4,11,ambient,11,28.5505
4,11,ambient,12,28.9653
4,11,ambient,13,29.2043
4,11,ambient,14,29.0738
