block,ring,CO2,hour,canopy_t
1,17,ambient,0,18.8774
1,17,ambient,1,18.4134
1,17,ambient,2,18.0547
1,17,ambient,3,17.7649
1,17,ambient,4,17.5731
1,17,ambient,5,18.1141
1,17,ambient,6,21.6381
1,17,ambient,7,24.5084
1,17,ambient,8,26.1358
1,17,ambient,9,27.4637
1,17,ambient,10,28.3891
1,17,ambient,11,29.6177
1,17,ambient,12,30.5141
1,17,ambient,13,31.4586
1,17,ambient,14,31.6185
1,17,ambient,15,31.3112
1,17,ambient,16,30.3471
1,17,ambient,17,28.8443
1,17,ambient,18,26.048
1,17,ambient,19,22.2926
1,17,ambient,20,20.7905
1,17,ambient,21,19.9676
1,17,ambient,22,19.2606
1,17,ambient,23,18.9154
1,21,elevate,0,19.8286
1,21,elevate,1,19.4488
1,21,elevate,2,19.112
1,21,elevate,3,18.8512
1,21,elevate,4,18.724
1,21,elevate,5,19.3605
1,21,elevate,6,23.2274
1,21,elevate,7,26.6412
1,21,elevate,8,28.7811
1,21,elevate,9,30.2897
1,21,elevate,10,31.1125
1,21,elevate,11,31.4167
1,21,elevate,12,31.2459
1,21,elevate,13,31.073
1,21,elevate,14,31.1815
1,21,elevate,15,31.4353
1,21,elevate,16,31.0337
1,21,elevate,17,29.4549
1,21,elevate,18,26.6171
1,21,elevate,19,23.1548
1,21,elevate,20,21.7441
1,21,elevate,21,21.0234
1,21,elevate,22,20.4022
1,21,elevate,23,20.096
2,20,elevate,0,19.6994
2,20,elevate,1,19.3241
2,20,elevate,2,18.9802
2,20,elevate,3,18.7469
2,20,elevate,4,18.5952
2,20,elevate,5,19.2917
2,20,elevate,6,23.1971
2,20,elevate,7,26.5113
2,20,elevate,8,28.5257
2,20,elevate,9,29.7413
2,20,elevate,10,30.0871
2,20,elevate,11,30.3518
2,20,elevate,12,30.8066
2,20,elevate,13,31.5029
2,20,elevate,14,31.7191
2,20,elevate,15,31.7313
2,20,elevate,16,31.1043
2,20,elevate,17,29.4654
2,20,elevate,18,26.6744
2,20,elevate,19,23.2029
2,20,elevate,20,21.6993
2,20,elevate,21,20.9748
2,20,elevate,22,20.314
2,20,elevate,23,19.9855
2,24,ambient,0,19.7203
2,24,ambient,1,19.3362
2,24,ambient,2,18.9741
2,24,ambient,3,18.7452
2,24,ambient,4,18.5955
2,24,ambient,5,19.2829
2,24,ambient,6,23.0677
2,24,ambient,7,26.2628
2,24,ambient,8,28.0933
2,24,ambient,9,29.0592
2,24,ambient,10,29.4738
2,24,ambient,11,30.1789
2,24,ambient,12,30.7759
2,24,ambient,13,31.5842
2,24,ambient,14,31.8303
2,24,ambient,15,31.8283
2,24,ambient,16,31.23
2,24,ambient,17,29.4998
2,24,ambient,18,26.7401
2,24,ambient,19,23.231
2,24,ambient,20,21.6765
2,24,ambient,21,20.9768
