"year","doy","hour","zen","solar","netsolar","dw_solar","up_solar","temp","rh","windspeed","precip","day_length"
2005,1,0,161.481,0,0,0,0.075,0.26,0.8688,3.49,0,8
2005,1,1,161.481,0,0,0,0.075,0.26,0.8688,3.49,0,8
2005,1,2,161.481,0,0,0,0.075,0.26,0.8688,3.49,0,8
2005,1,3,161.481,0,0,0,0.075,0.26,0.8688,3.49,0,8
2005,1,4,161.481,0,0,0,0.075,0.26,0.8688,3.49,0,8
2005,1,5,161.481,0,0,0,0.075,0.26,0.8688,3.49,0,8
2005,1,6,154.359,0,0,0,0,-0.09,0.8619,3.59,0,8.00011713168888
2005,1,7,144.105,0,0,0,0.025,-0.34,0.8562,3.72,0,8.00027344843126
2005,1,8,132.8695,0,0,0,0.005,-0.61,0.8606,3.77,0.02,8.00043638296786
2005,1,9,121.416,0,0,0,0.275,-0.49,0.8612,4,0.08,8.00059550023837
2005,1,10,110.1075,0,0,0,0.01,-0.31,0.8706,4.45,0.23,8.00074654762669
2005,1,11,99.2085,0,0,0,0,-0.17,0.8869,4.83,0.06,8.00087462835906
2005,1,12,88.7705,15.732,3.025,1.605,0.945,0.22,0.8862,5.49,0.12,8.00133131920907
2005,1,13,79.739,52.808,10.94,9.33,2.82,1.19,0.86,5.86,0.19,8.11882178405016
2005,1,14,72.1045,114.54,35.61,39.66,8.755,2.62,0.8281,5.91,0.19,8.27322447201336
2005,1,15,66.493,250.93,35.31,39.3,8.835,4.26,0.7994,5.83,0.24,8.27419918109355
2005,1,16,63.4875,359.26,48.395,55.7,12.46,5.98,0.7838,5.8,0.37,8.27420055263967
2005,1,17,63.471,278.07,52.85,61.465,13.71,7.26,0.7994,5.83,0.47,8.27420048268618
2005,1,18,66.4445,226.918,64.16,77.13,18.035,8.4,0.8269,5.63,0.35,8.27420053529316
2005,1,19,72.032,91.218,20.13,21.405,5.43,9.21,0.8794,4.52,0.17,8.27419598752192
2005,1,20,79.648,132.342,13.765,12.82,3.48,8.7,0.9919,3.05,0.11,8.25018321961848
2005,1,21,88.671,15.042,3.715,2.07,0.87,7.79,1,3.49,0.09,7.82026887295871
