DOY,block,ring,CO2,subplot,WPcorrect,OPcorrect,turgorcorrect
200,1,1,ambient,con,-0.67656,-1.05168,0.37512
200,1,1,ambient,dry,-0.55126,-0.9447,0.16132
200,1,5,elevate,con,-0.51116,-1.15103,0.51457
200,1,5,elevate,dry,-0.37192,-1.10352,0.7316
200,2,3,elevate,con,-0.56348,-1.03085,0.27566
200,2,3,elevate,dry,-0.40826,-0.914,0.43166
200,2,4,ambient,con,-0.81079,-1.04776,0.23697
200,2,4,ambient,dry,-0.91698,-1.0971,0.29821
200,3,10,ambient,con,.,-0.97869,.
200,3,10,ambient,dry,-0.44914,-0.76975,0.30531
200,3,14,elevate,con,-0.38257,-1.21895,0.83638
200,3,14,elevate,dry,-0.73702,-1.24433,0.50731
200,4,11,ambient,con,-0.57068,-1.09005,0.51937
200,4,11,ambient,dry,-0.81329,.,.
200,4,15,elevate,con,-0.70945,-1.0736,0.36415
200,4,15,elevate,dry,-0.71833,-1.06457,0.34625
214,1,1,ambient,con,-0.56404,-0.63509,0.19171
214,1,1,ambient,dry,-0.58998,-0.78256,0.19259
214,1,5,elevate,con,-0.59324,-0.76646,0.16681
214,1,5,elevate,dry,-0.53215,-0.72743,0.20659
214,2,3,elevate,con,-0.65802,-0.89208,0.23406
214,2,3,elevate,dry,-0.5777,-0.8678,0.25499
214,2,4,ambient,con,-0.81602,-0.90649,0.15412
214,2,4,ambient,dry,-0.53096,-0.76129,0.26188
214,3,10,ambient,con,-0.8194,-0.94257,0.12317
214,3,10,ambient,dry,-0.72129,-0.93205,0.21075
214,3,14,elevate,con,-0.71828,-1.14957,0.43128
214,3,14,elevate,dry,-0.64448,-0.7035,0.14206
214,4,11,ambient,con,-0.73686,-0.96024,0.24809
214,4,11,ambient,dry,-0.65589,-0.79509,0.1939
214,4,15,elevate,con,-0.7446,-1.03554,0.29095
214,4,15,elevate,dry,-0.8085,-1.02038,0.21188
228,1,1,ambient,con,-0.79638,-0.93765,0.14128
228,1,1,ambient,dry,-0.73495,-0.79043,0.18252
228,1,5,elevate,con,-0.73896,-1.08519,0.37026
228,1,5,elevate,dry,-0.63659,-0.93017,0.29358
228,2,3,elevate,con,-0.48159,-0.81903,0.33743
228,2,3,elevate,dry,-0.6817,-1.01299,0.33129
228,2,4,ambient,con,-0.63158,-0.85236,0.22078
228,2,4,ambient,dry,-0.73771,-1.04594,0.30824
228,3,10,ambient,con,-0.62581,-0.97634,0.31179
228,3,10,ambient,dry,-0.56285,-0.84321,0.3239
228,3,14,elevate,con,-0.45556,-0.58071,0.23274
228,3,14,elevate,dry,-0.71603,-0.96049,0.24446
228,4,11,ambient,con,-0.56241,-0.84734,0.28493
228,4,11,ambient,dry,-0.6411,-0.84346,0.25984
228,4,15,elevate,con,-0.70037,-0.80123,0.12953
228,4,15,elevate,dry,-0.53607,-0.70876,0.17119
242,1,1,ambient,con,-0.78996,-1.2425,0.39344
242,1,1,ambient,dry,-0.59433,-0.81737,0.29884
242,1,5,elevate,con,-0.8429,-1.01099,0.18795
242,1,5,elevate,dry,-0.64978,-1.03642,0.3629
242,2,3,elevate,con,-0.7342,-1.12597,0.42163
242,2,3,elevate,dry,-0.86589,-1.01637,0.34061
242,2,4,ambient,con,-0.823,-1.10838,0.28537
242,2,4,ambient,dry,-0.89035,-0.93233,0.22805
242,3,10,ambient,con,-0.96224,-1.13933,0.21009
242,3,10,ambient,dry,-1.04018,-1.25996,0.30025
242,3,14,elevate,con,-0.99307,-1.2037,0.27503
242,3,14,elevate,dry,-0.61516,-0.96788,0.35272
242,4,11,ambient,con,-1.11849,-1.48177,0.42163
242,4,11,ambient,dry,-1.24956,-1.28351,0.14827
242,4,15,elevate,con,-0.7555,-0.63819,0.30009
242,4,15,elevate,dry,-0.72214,-0.92578,0.40242
